Year,Matches,Runs,Average,StrikeRate,Centuries
2008,5,159,31.80,84.57,0
2009,10,325,46.42,82.69,1
2010,25,995,47.38,85.26,3
2011,34,1381,47.62,85.72,4
2012,17,1026,68.40,93.34,5
2013,34,1268,52.83,97.54,4
2014,20,1054,58.55,99.52,4
2015,20,623,36.64,81.69,2
2016,10,739,92.37,100.00,3
2017,26,1460,76.84,99.10,6
2018,14,1202,133.55,102.55,6
2019,26,1377,59.86,96.36,5
2020,9,431,47.88,92.36,2
2021,3,129,43.00,86.00,0
2022,11,302,27.45,87.28,1
2023,24,1377,72.47,99.00,6
2024,3,58,19.33,85.29,0
