Date,Open,High,Low,Close
2026-06-05,74629.94,74717.57,73988.75,74243.34
2026-06-04,73935.83,74544.24,73807.30,74360.01
2026-06-03,74507.73,74515.65,73492.60,74346.17
2026-06-02,73945.20,74862.19,73815.12,74649.84
2026-06-01,75203.02,75367.93,74203.68,74267.34
2026-05-29,75988.51,76220.02,74589.11,74775.74
2026-05-28,75890.12,76110.45,75520.33,75910.28
2026-05-27,75939.86,76224.68,75748.21,75867.80
2026-05-26,76224.14,76627.04,75909.68,76009.70
2026-05-25,76135.82,76559.07,76097.02,76488.96
2026-05-22,75260.39,75810.97,75230.75,75415.35
2026-05-21,75732.42,75945.79,74996.78,75183.36
2026-05-20,74806.49,75406.18,74529.41,75318.39
2026-05-19,75441.27,75746.27,75115.99,75200.85
2026-05-18,74807.97,75466.60,74180.26,75315.04
2026-05-15,75497.10,75870.36,75139.41,75237.99
2026-05-14,74947.12,75681.88,74526.77,75398.72
2026-05-13,74439.34,75191.57,74134.48,74608.98
2026-05-12,75688.39,75741.96,74449.50,74559.24
2026-05-11,76638.09,76678.52,75957.40,76015.28
2026-05-08,77631.94,77647.44,77146.43,77328.19
2026-05-07,78339.24,78384.70,77713.21,77844.52
2026-05-06,77424.36,78022.78,76773.25,77958.52
2026-05-05,77103.72,77151.33,76515.03,77017.79
2026-05-04,77257.27,77910.75,76939.54,77269.40
2026-04-30,77014.21,77254.33,76258.86,76913.50
2026-04-29,77245.83,77982.51,77136.20,77496.36
2026-04-28,77094.79,77493.53,76741.06,76886.91
2026-04-27,76856.05,77420.04,76754.20,77303.63
2026-04-24,77483.80,77710.82,76403.87,76664.21
